Timestamp,Toy Story (1995),Twelve Monkeys (1995),Star Wars (1977),Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Fargo (1996),Independence Day (ID4) (1996),"Godfather, The (1972)",Raiders of the Lost Ark (1981),Return of the Jedi (1983),Contact (1997),"English Patient, The (1996)",Scream (1996),Liar Liar (1997),Air Force One (1997),"Out of all of the genres below, what are your top 3 favorites?"
12/8/2020 21:55:51,5 - Loved it,2 - Didn't like it,4 - Liked it,1 - Hated it,Didn't watch,1 - Hated it,1 - Hated it,1 - Hated it,4 - Liked it,4 - Liked it,3 - Neutral,3 - Neutral,2 - Didn't like it,4 - Liked it,2 - Didn't like it,"Animation, Children, Musical"
12/8/2020 23:19:29,1 - Hated it,5 - Loved it,5 - Loved it,3 - Neutral,5 - Loved it,5 - Loved it,5 - Loved it,5 - Loved it,5 - Loved it,2 - Didn't like it,5 - Loved it,3 - Neutral,5 - Loved it,3 - Neutral,5 - Loved it,"Adventure, Crime, Drama"
